Food_Id,Calories,Total_Fat_DV,Sat_Fat_DV,Trans_Fat,Cholesterol_DV,Sodium_DV,Carbs_DV,Fiber_DV,Total_Sugars (g),Added_Sugars_DV,Protein (g),Vitamin_D_DV,Calcium_DV,Iron_DV,Potassium_DV,Healthy(0)/Unhealthy(1)/In Moderation(2)
1,95,0,0,0,0,0,8,17,19,0,0.5,0,1,1,5,0
2,80,10,5,0,0,0,1,11,0,0,1,0,0,2,6,2
3,105,0,0,0,0,0,9,12,14,0,1.3,0,0,1,12,0
4,80,1,0,0,0,0,8,14,15,0,1,0,0,2,2,0
5,45,0,0,0,0,0,3,9,9,0,0.9,0,3,0,4,0
6,45,0,0,0,0,0,4,11,7,0,1,0,2,4,4,0
7,77,0,0,0,0,0,6,10,13,0,1.6,0,2,2,7,0
8,34,0,0,0,0,0,3,2,7.6,0,0.4,0,0,1,2,0
9,52,0,0,0,0,0,5,7,8.5,0,1,0,2,1,4,0
10,42,0,0,0,0,0,4,8,6.2,0,0.8,0,2,1,5,0
11,24,0,0,0,0,0,3,9,2.1,0,0.9,0,2,3,2,0
12,202,2,2,0,0,0,18,19,46,0,2.8,0,3,3,12,2
13,60,0,0,0,0,1,5,6,14,0,1.5,0,1,2,10,0
14,68,1,0,0,0,0,6,9,15,0,1.6,0,1,2,7,0
15,101,0,0,0,0,0,10,20,17,0,0.6,0,1,2,4,0
16,41,0,0,0,0,0,4,4,8.1,0,0.5,0,1,1,2,0
17,30,0,0,0,0,0,3,3,6.5,0,0.5,0,0,1,2,0
18,62,1,0,0,0,0,5,29,5.6,0,1.2,0,2,3,4,0
19,72,6,8,0,62,3,0,0,0.2,0,6.3,5,2,5,1,0
20,196,13,20,0,25,3,0,0,0,0,24,0,1,14,8,0
21,198,6,6,0,34,4,0,0,0,0,37,1,1,7,7,0
22,250,23,38,0,27,3,0,0,0,0,21,0,1,9,6,2
23,177,20,6,0,0,6,2,12,1.4,0,6.2,0,6,6,5,0
24,58,5,2,0,0,0,2,15,0,0,2,0,6,5,1,0
25,16,0,0,0,0,30,1,0,2.5,0,1.1,0,0,2,1,2
26,204,27,17,0,0,0,1,9,1.3,0,2.2,0,2,6,2,0
27,182,23,8,0,0,0,1,7,0.7,0,4.3,0,2,5,3,0
28,198,26,24,0,0,0,1,8,0.7,0,4.3,0,4,4,4,0
29,17,0,0,0,0,0,1,5,1,0,1.8,0,1,4,4,0
30,32,0,0,0,0,0,3,5,2.9,0,1.1,0,1,3,4,0
31,88,1,1,0,0,4,7,29,3.5,0,6,0,8,10,16,0
32,80,1,0,0,0,6,7,25,8,0,1.8,0,5,4,12,0
33,26,1,0,0,0,1,2,9,2.4,0,2.2,0,1,2,3,0
34,10,0,0,0,0,0,1,1,1.1,0,0.4,0,1,1,2,0
